year_from,year_to,lon,lat,ssim,resnet_cosine_dist
2018,2019,120.615,24.085,0.006494545983497438,0.7324814796447754
2018,2019,120.615,24.095,0.005751741798937897,0.7639636993408203
2018,2019,120.615,24.105,0.005019851520930053,0.7640362977981567
2018,2019,120.615,24.115,0.005185571848560889,0.7746236324310303
2018,2019,120.615,24.125,0.005281182459202169,0.7819843888282776
2018,2019,120.615,24.135,0.0048904050856559385,0.7828746438026428
2018,2019,120.615,24.145,0.004225968183843851,0.7665895819664001
2018,2019,120.615,24.155,0.0042597346476944105,0.7538317441940308
2018,2019,120.615,24.165,0.003940990681376404,0.7491064071655273
2018,2019,120.615,24.175,0.0030949728522362036,0.7623566389083862
2018,2019,120.615,24.185,0.002493232288880254,0.7963312864303589
2018,2019,120.615,24.195,0.00258831877340627,0.7766543030738831
2018,2019,120.615,24.205,0.002985313708932218,0.7923179268836975
2018,2019,120.625,24.085,0.006185715539036626,0.7348800897598267
2018,2019,120.625,24.095,0.005525066916212658,0.7711886167526245
2018,2019,120.625,24.105,0.004659412921419396,0.7559483051300049
2018,2019,120.625,24.115,0.004621283719894687,0.7566061615943909
2018,2019,120.625,24.125,0.004583149723594869,0.7639684677124023
2018,2019,120.625,24.135,0.004096227589021493,0.7726855278015137
2018,2019,120.625,24.145,0.003410878638763558,0.7969281673431396
2018,2019,120.625,24.155,0.0033127731414034,0.7754032015800476
2018,2019,120.625,24.165,0.0032515334330653774,0.7780210375785828
2018,2019,120.625,24.175,0.002765065204594959,0.7745718359947205
2018,2019,120.625,24.185,0.0025500822722151002,0.7939751148223877
2018,2019,120.625,24.195,0.002470643365510363,0.7694191932678223
2018,2019,120.625,24.205,0.0025579614506029144,0.7862427234649658
2018,2019,120.635,24.085,0.006271717431315715,0.7480778694152832
2018,2019,120.635,24.095,0.005475968822137291,0.7450629472732544
2018,2019,120.635,24.105,0.00437457663761331,0.768241286277771
2018,2019,120.635,24.115,0.004132945780144823,0.7610400915145874
2018,2019,120.635,24.125,0.003846360760820367,0.7738485336303711
2018,2019,120.635,24.135,0.003501812960836763,0.7704677581787109
2018,2019,120.635,24.145,0.0027388231604408182,0.768126904964447
2018,2019,120.635,24.155,0.0026292032689796585,0.7663260698318481
2018,2019,120.635,24.165,0.0025708166022858714,0.7598687410354614
2018,2019,120.635,24.175,0.0024927679220325643,0.7732508778572083
2018,2019,120.635,24.185,0.002509463232704684,0.809268057346344
2018,2019,120.635,24.195,0.002475164921486791,0.7913635969161987
2018,2019,120.635,24.205,0.0024591755362007458,0.7899071574211121
2018,2019,120.645,24.085,0.006210071474071252,0.754715085029602
2018,2019,120.645,24.095,0.005309134844646233,0.7739847898483276
2018,2019,120.645,24.105,0.0040684366574631585,0.7709633111953735
2018,2019,120.645,24.115,0.003679156432006516,0.7542247772216797
2018,2019,120.645,24.125,0.003422859825459512,0.7722481489181519
2018,2019,120.645,24.135,0.0031321463690065607,0.7545788884162903
2018,2019,120.645,24.145,0.0024888947889649808,0.7723098397254944
2018,2019,120.645,24.155,0.00240596172299387,0.7831268310546875
2018,2019,120.645,24.165,0.00232654553768835,0.7342164516448975
2018,2019,120.645,24.175,0.0022676303224092877,0.769861102104187
2018,2019,120.645,24.185,0.002396532474702872,0.7943788170814514
2018,2019,120.645,24.195,0.0025698504399191933,0.7730238437652588
2018,2019,120.645,24.205,0.0025202148452786993,0.7441301345825195
2018,2019,120.655,24.085,0.005583888593566763,0.7621278762817383
2018,2019,120.655,24.095,0.004785692395008237,0.7639128565788269
2018,2019,120.655,24.105,0.0035160051624044493,0.7740482687950134
2018,2019,120.655,24.115,0.003099120065280633,0.7414791584014893
