year,lon,lat,edge_density,building_coverage,texture_entropy
2018,120.615,24.085,0.0,0.0,0.0
2018,120.615,24.095,0.0,0.0,0.0
2018,120.615,24.105,0.0,0.0,0.0
2018,120.615,24.115,0.0,0.0,0.0
2018,120.615,24.125,0.0,0.0,0.0
2018,120.615,24.135,0.0,0.0,0.0
2018,120.615,24.145,0.0,0.0,0.0
2018,120.615,24.155,0.0,0.0,0.0
2018,120.615,24.165,0.0,0.0,0.0
2018,120.615,24.175,0.0,0.0,0.0
2018,120.615,24.185,0.0,0.0,0.0
2018,120.615,24.195,0.0,0.0,0.0
2018,120.615,24.205,0.0,0.0,0.0
2018,120.625,24.085,0.0,0.0,0.0
2018,120.625,24.095,0.0,0.0,0.0
2018,120.625,24.105,0.0,0.0,0.0
2018,120.625,24.115,0.0,0.0,0.0
2018,120.625,24.125,0.0,0.0,0.0
2018,120.625,24.135,0.0,0.0,0.0
2018,120.625,24.145,0.0,0.0,0.0
2018,120.625,24.155,0.0,0.0,0.0
2018,120.625,24.165,0.0,0.0,0.0
2018,120.625,24.175,0.0,0.0,0.0
2018,120.625,24.185,0.0,0.0,0.0
2018,120.625,24.195,0.0,0.0,0.0
2018,120.625,24.205,0.0,0.0,0.0
2018,120.635,24.085,0.0,0.0,0.0
2018,120.635,24.095,0.0,0.0,0.0
2018,120.635,24.105,0.0,0.0,0.0
2018,120.635,24.115,0.0,0.0,0.0
2018,120.635,24.125,0.0,0.0,0.0
2018,120.635,24.135,0.0,0.0,0.0
2018,120.635,24.145,0.0,0.0,0.0
2018,120.635,24.155,0.0,0.0,0.0
2018,120.635,24.165,0.0,0.0,0.0
2018,120.635,24.175,0.0,0.0,0.0
2018,120.635,24.185,0.0,0.0,0.0
2018,120.635,24.195,0.0,0.0,0.0
2018,120.635,24.205,0.0,0.0,0.0
2018,120.645,24.085,0.0,0.0,0.0
2018,120.645,24.095,0.0,0.0,0.0
2018,120.645,24.105,0.0,0.0,0.0
2018,120.645,24.115,0.0,0.0,0.0
2018,120.645,24.125,0.0,0.0,0.0
2018,120.645,24.135,0.0,0.0,0.0
2018,120.645,24.145,0.0,0.0,0.0
2018,120.645,24.155,0.0,0.0,0.0
2018,120.645,24.165,0.0,0.0,0.0
2018,120.645,24.175,0.0,0.0,0.0
2018,120.645,24.185,0.0,0.0,0.0
2018,120.645,24.195,0.0,0.0,0.0
2018,120.645,24.205,0.0,0.0,0.0
2018,120.655,24.085,0.0,0.0,0.0
2018,120.655,24.095,0.0,0.0,0.0
2018,120.655,24.105,0.0,0.0,0.0
2018,120.655,24.115,0.0,0.0,0.0
2018,120.655,24.125,0.0,0.0,0.0
2018,120.655,24.135,0.0,0.0,0.0
2018,120.655,24.145,0.0,0.0,0.0
2018,120.655,24.155,0.0,0.0,0.0
2018,120.655,24.165,0.0,0.0,0.0
2018,120.655,24.175,0.0,0.0,0.0
2018,120.655,24.185,0.0,0.0,0.0
2018,120.655,24.195,0.0,0.0,0.0
2018,120.655,24.205,0.0,0.0,0.0
2018,120.665,24.085,0.0,0.0,0.0
2018,120.665,24.095,0.0,0.0,0.0
2018,120.665,24.105,0.0,0.0,0.0
2018,120.665,24.115,0.0,0.0,0.0
2018,120.665,24.125,0.0,0.0,0.0
2018,120.665,24.135,0.0,0.0,0.0
2018,120.665,24.145,0.0,0.0,0.0
2018,120.665,24.155,0.0,0.0,0.0
2018,120.665,24.165,0.0,0.0,0.0
2018,120.665,24.175,0.0,0.0,0.0
2018,120.665,24.185,0.0,0.0,0.0
2018,120.665,24.195,0.0,0.0,0.0
2018,120.665,24.205,0.0,0.0,0.0
2018,120.675,24.085,0.0,0.0,0.0
2018,120.675,24.095,0.0,0.0,0.0
2018,120.675,24.105,0.0,0.0,0.0
2018,120.675,24.115,0.0,0.0,0.0
2018,120.675,24.125,0.0,0.0,0.0
2018,120.675,24.135,0.0,0.0,0.0
2018,120.675,24.145,0.0,0.0,0.0
2018,120.675,24.155,0.0,0.0,0.0
2018,120.675,24.165,0.0,0.0,0.0
2018,120.675,24.175,0.0,0.0,0.0
2018,120.675,24.185,0.0,0.0,0.0
2018,120.675,24.195,0.0,0.0,0.0
2018,120.675,24.205,0.0,0.0,0.0
2018,120.685,24.085,0.0,0.0,0.0
2018,120.685,24.095,0.0,0.0,0.0
2018,120.685,24.105,0.0,0.0,0.0
2018,120.685,24.115,0.0,0.0,0.0
2018,120.685,24.125,0.0,0.0,0.0
2018,120.685,24.135,0.0,0.0,0.0
2018,120.685,24.145,0.0,0.0,0.0
2018,120.685,24.155,0.0,0.0,0.0
2018,120.685,24.165,0.0,0.0,0.0
2018,120.685,24.175,0.0,0.0,0.0
2018,120.685,24.185,0.0,0.0,0.0
2018,120.685,24.195,0.0,0.0,0.0
2018,120.685,24.205,0.0,0.0,0.0
2018,120.695,24.085,0.0,0.0,0.0
2018,120.695,24.095,0.0,0.0,0.0
2018,120.695,24.105,0.0,0.0,0.0
2018,120.695,24.115,0.0,0.0,0.0
2018,120.695,24.125,0.0,0.0,0.0
2018,120.695,24.135,0.0,0.0,0.0
2018,120.695,24.145,0.0,0.0,0.0
2018,120.695,24.155,0.0,0.0,0.0
2018,120.695,24.165,0.0,0.0,0.0
2018,120.695,24.175,0.0,0.0,0.0
2018,120.695,24.185,0.0,0.0,0.0
2018,120.695,24.195,0.0,0.0,0.0
2018,120.695,24.205,0.0,0.0,0.0
2018,120.705,24.085,0.0,0.0,0.0
2018,120.705,24.095,0.0,0.0,0.0
2018,120.705,24.105,0.0,0.0,0.0
2018,120.705,24.115,0.0,0.0,0.0
2018,120.705,24.125,0.0,0.0,0.0
2018,120.705,24.135,0.0,0.0,0.0
2018,120.705,24.145,0.0,0.0,0.0
2018,120.705,24.155,0.0,0.0,0.0
2018,120.705,24.165,0.0,0.0,0.0
2018,120.705,24.175,0.0,0.0,0.0
2018,120.705,24.185,0.0,0.0,0.0
2018,120.705,24.195,0.0,0.0,0.0
2018,120.705,24.205,0.0,0.0,0.0
2018,120.715,24.085,0.0,0.0,0.0
2018,120.715,24.095,0.0,0.0,0.0
2018,120.715,24.105,0.0,0.0,0.0
2018,120.715,24.115,0.0,0.0,0.0
2018,120.715,24.125,0.0,0.0,0.0
2018,120.715,24.135,0.0,0.0,0.0
2018,120.715,24.145,0.0,0.0,0.0
2018,120.715,24.155,0.0,0.0,0.0
2018,120.715,24.165,0.0,0.0,0.0
2018,120.715,24.175,0.0,0.0,0.0
2018,120.715,24.185,0.0,0.0,0.0
2018,120.715,24.195,0.0,0.0,0.0
2018,120.715,24.205,0.0,0.0,0.0
2018,120.725,24.085,0.0,0.0,0.0
2018,120.725,24.095,0.0,0.0,0.0
2018,120.725,24.105,0.0,0.0,0.0
2018,120.725,24.115,0.0,0.0,0.0
2018,120.725,24.125,0.0,0.0,0.0
2018,120.725,24.135,0.0,0.0,0.0
2018,120.725,24.145,0.0,0.0,0.0
2018,120.725,24.155,0.0,0.0,0.0
2018,120.725,24.165,0.0,0.0,0.0
2018,120.725,24.175,0.0,0.0,0.0
2018,120.725,24.185,0.0,0.0,0.0
2018,120.725,24.195,0.0,0.0,0.0
2018,120.725,24.205,0.0,0.0,0.0
2018,120.735,24.085,0.0,0.0,0.0
2018,120.735,24.095,0.0,0.0,0.0
2018,120.735,24.105,0.0,0.0,0.0
2018,120.735,24.115,0.0,0.0,0.0
2018,120.735,24.125,0.0,0.0,0.0
2018,120.735,24.135,0.0,0.0,0.0
