year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2021,120.615,24.095,0.0979601648351648,0.1906135531135531,2.966640070488723,0.8808267365814879,0.0380601286888122,2,3433.8623857634457,0,0,0,0.0,0.0,0.026923649267399305,0.005653617216117207,0.17103728921236705,-1.0,-497.67284305871044,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.095,0.0,0.0,0.0,0.005204476814131,0.772490382194519,2,3433.8623857634457,0,0,0,0.0,0.0,-0.0979601648351648,-0.1906135531135531,-2.966640070488723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.095,0.1086750228937729,0.1746554487179487,3.0118904334083125,0.012732972759749,0.7720053791999817,2,3433.8623857634457,0,0,0,0.0,0.0,0.1086750228937729,0.1746554487179487,3.0118904334083125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.095,0.1011492673992674,0.1580271291208791,2.942059189131876,0.5364783974166192,0.2123329639434814,2,3433.8623857634457,0,0,0,0.0,0.0,-0.007525755494505501,-0.01662831959706959,-0.06983124427643661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.095,0.1120987866300366,0.1603920558608058,2.954506159296643,0.7059232054886839,0.0400671958923339,2,3433.8623857634457,0,0,0,0.0,0.0,0.0109495192307692,0.0023649267399266927,0.012446970164766924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.105,0.0,0.0,0.0,,,1,10099.17169478783,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.105,0.0736601419413919,0.1819167811355311,2.8321665825313973,0.00501985152093,0.7640362977981567,10,4838.395011076171,0,0,0,0.0,0.0,0.0736601419413919,0.1819167811355311,2.8321665825313973,9.0,-5260.77668371166,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.105,0.0801070283882783,0.2140367445054945,2.918860626069412,0.7852692198918424,0.0526220202445983,26,2390.9361565828303,0,0,0,0.0,0.0,0.006446886446886402,0.032119963369963395,0.08669404353801458,16.0,-2447.4588544933404,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.105,0.1082898351648351,0.2214171245421245,3.0702491985124776,0.8787652030287835,0.0555303692817688,29,2315.9844809955985,0,0,0,0.0,0.0,0.02818280677655681,0.0073803800366299965,0.1513885724430657,3.0,-74.95167558723188,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.105,0.0,0.0,0.0,0.0039694512619565,0.7728766202926636,32,2101.541165687575,0,0,0,0.0,0.0,-0.1082898351648351,-0.2214171245421245,-3.0702491985124776,3.0,-214.44331530802356,0.0,0.0,0.0,0.0,0.0
