year,lon,lat,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total
2018,120.665,24.185,3,392.345092206325,3,0,0,-0.0,0.0
2018,120.665,24.195,1,1160.8056900468878,0,0,0,0.0,0.0
2018,120.665,24.205,5,1614.9116813476344,0,0,0,0.0,0.0
2018,120.675,24.085,56,431.06136953919383,0,0,0,0.0,0.0
2018,120.675,24.095,4,766.3846701728165,0,0,0,0.0,0.0
2018,120.675,24.105,45,777.9364873784587,1,0,0,-0.0,0.0
2018,120.675,24.115,103,624.0603795172877,3,8,3,1.41379956460568,0.0
2018,120.675,24.125,53,1491.8516619598536,5,1,0,0.6500224216483541,0.0
2018,120.675,24.135,34,1235.2415183169699,9,0,0,-0.0,0.0
2018,120.675,24.145,35,1105.4880856655361,8,1,0,0.5032583347756457,0.0
2018,120.675,24.155,15,1160.427267087921,6,0,0,-0.0,0.0
2018,120.675,24.165,11,2133.9635912557137,3,3,0,1.0,0.0
2018,120.675,24.175,34,1032.0411515118974,12,1,0,0.39124356362925566,0.0
2018,120.675,24.185,1,184.64004647432273,0,0,0,0.0,0.0
2018,120.675,24.195,11,1018.2174622785195,2,0,0,-0.0,0.0
2018,120.675,24.205,1,89.6242681954993,0,0,0,0.0,0.0
2018,120.685,24.085,167,163.06335929027875,0,0,0,0.0,0.0
2018,120.685,24.095,9,966.813930091102,2,1,0,0.9182958340544896,0.0
2018,120.685,24.105,61,1010.1439414257492,6,8,1,1.272905595320056,0.0
2018,120.685,24.115,100,355.0579160495614,2,1,0,0.9182958340544896,0.0
2018,120.685,24.125,27,784.8710181699995,1,0,1,1.0,0.0
2018,120.685,24.135,99,650.0459801688378,22,12,0,0.9366673818775626,0.0
2018,120.685,24.145,41,999.4648572497305,11,2,1,0.9463729359854419,0.0
2018,120.685,24.155,52,1303.9019473856822,13,4,0,0.7871265862012691,0.0
2018,120.685,24.165,23,674.3709088628101,10,5,1,1.198192411043098,0.0
2018,120.685,24.175,26,1385.6277834634448,4,2,0,0.9182958340544896,0.0
